Cmdline: /data/local/tmp/simpleperf record -e cpu-cycles -g --duration 10 --call-graph fp -o /data/local/tmp/perf_mbv2.data /data/local/tmp/benchmark/benchmark_inference --model mobilenetv2 --backend mnn --warmup 50 --runs 200
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 19871
Event count: 13450907503

Overhead  Command              Shared Object                                   Symbol
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b5b4]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b668]
0.01%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  je_arena_tcache_fill_small
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d329f0]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e8a1d0]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::Session::run() const
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f9186d4c]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d29350]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             std::__ndk1::__function::__func<MNN::Convolution1x1Strassen::onExecute(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)::$_0, std::__ndk1::allocator<MNN::Convolution1x1Strassen::onExecute(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)::$_0>, void (int)>::operator()(int&&)
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7ea2e30]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d29394]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e9af40]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b620]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::DenseConvolutionTiledExecutor::onExecute(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d293c0]
